trg_pattern,abx,gene_name,phenotype_change,notes
aac(6')-Ib-cr_1_DQ303918|1|1|1|1,ami,aac(6')-Ib,0,"Note again here, were considering the aac(6')-Ib to be similar (note they align closely) There is an important distinction here though, the specific variant can affect phenotype (specifically aac(6')-Ib-cr"
aac(3)-IIa_1_X51534|1|1|1|1,ami,aac(3)-IIa,0,
aadA5_1_AF137361|1|1|1|1,ami,aadA5,0,
aph(3'')-Ib_5_AF321551|1|1|1|1,ami,aph(3'')-Ib,0,
aph(6)-Id_1_M28829|1|1|1|1,ami,aph(6)-Id,0,
aph(3')-Ia_1_V00359|1|1|1|1,ami,aph(3')-Ia,0,
aac(3)-IId_1_EU022314|1|1|1|1,ami,aac(3)-IIa,0,"Note again these genes are actually very similar, so will denote aac(3)-Iia like (the only different one with the same attack point and resistance profile is aac(3)-Iib"
aph(3')-IIa_2_V00618|1|1|1|1,ami,aph(3')-Ia,0,
aph(4)-Ia_1_V01499|1|1|1|1,ami,aph(4)-Ia,0,
aph(3')-Ia_7_X62115|1|1|1|1,ami,aph(3')-Ia,0,
armA_1_AY220558|1|1|1|1,ami,armA,0,
aadA4_1_Z50802|1|1|1|1,ami,aadA4,0,
aph(3')-Ia_3_EF015636|1|1|1|1,ami,aph(3')-Ia,0,
aph(3')-VI_1_KC170992|1|1|1|1,ami,aph(3')-VI,0,
ant(2'')-Ia_1_X04555|1|1|1|1,ami,ant(2'')-Ia,0,
ant(2'')-Ia_6_AJ871915|1|1|1|1,ami,ant(2'')-Ia,0,
aac(3)-VIa_2_NC_009838|1|1|1|1,ami,aac(3)-VI,0,
aph(3'')-Ib_4_AF313472|1|1|1|1,ami,aph(3'')-Ib,0,
rmtC_1_AB194779|1|1|1|1,ami,rmtC,0,
aadA11_2_AJ567827:aadA15_1_DQ393783:aadA1_3_JQ414041:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2_2_JQ364967:ant(3'')-Ia_1_X02340|0:0:0:0:1:0:1|0:0:1:0:0:1:0|0:0:0:0:0:1:1|1:1:1:1:0:1:0,ami,ant(3'')-Ia,,
aadA11_2_AJ567827:aadA13_1_AY713504:aadA15_1_DQ393783:aadA1_3_JQ414041:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2b_1_D43625:ant(3'')-Ia_1_X02340|0:0:0:0:0:1:0:1|0:1:0:1:0:0:1:0|0:0:0:1:0:1:0:0|1:0:1:1:1:1:0:0,ami,ant(3'')-Ia,,
aadA11_2_AJ567827:aadA12_1_AY665771:aadA13_1_AY713504:aadA17_1_FJ460181:aadA1_2_FJ591054:aadA1_5_JX185132:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:0:0:1|0:0:1:0:0:1:0:0|0:0:0:0:0:0:0:1|1:1:0:1:1:0:1:0,ami,ant(3'')-Ia,,
aph(3'')-Ib_2_AF024602:aph(3'')-Ib_3_AF321550|1:0|0:1|1:0|1:0,ami,aph(3'')-Ib,,
aadA11_2_AJ567827:aadA15_1_DQ393783:aadA1_5_JX185132:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2_2_JQ364967:ant(3'')-Ia_1_X02340|0:0:0:0:1:0:1|0:0:1:0:0:1:0|0:0:0:0:0:1:1|1:1:0:1:0:1:1,ami,ant(3'')-Ia,,
aph(3'')-Ib_5_AF321551|1|0|1|1,ami,aph(3'')-Ib,,
aadA11_2_AJ567827:aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_5_JX185132:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:1|0:0:0:1:0:0|0:0:0:0:0:1|1:1:1:0:1:1,ami,ant(3'')-Ia,,
aac(3)-IIa_1_X51534:aac(3)-IIe_1_EU022315|1:0|1:0|0:1|1:0,ami,aac(3)-Iia,,
aadA11_2_AJ567827:aadA12_1_AY665771:aadA23_1_AJ809407:aadA2_1_NC_010870:aadA2_2_JQ364967|0:0:0:1:0|0:0:0:0:1|0:0:0:0:1|1:1:1:0:1,ami,ant(3'')-Ia,,"Note for aminoglycoside naming, we don't have an obvious solution as to which gene it is, but they all appear similar to ant(3'')-Ia,  an consequently we will class these minomers as this"
aph(3'')-Ib_5_AF321551|0|1|1|1,ami,aph(3'')-Ib,,
aph(6)-Id_1_M28829|0|1|1|1,ami,aph(6)-Id,,
aph(6)-Id_1_M28829:aph(6)-Id_4_CP000971|1:0|0:1|0:1|0:1,ami,aph(6)-Id,,
aadA11_2_AJ567827:aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_4_JQ480156:ant(3'')-Ia_1_X02340|0:0:0:0:1|0:0:0:1:0|0:0:0:1:0|1:1:1:1:0,ami,ant(3'')-Ia,,
aadA11_2_AJ567827:aadA12_1_AY665771:aadA23_1_AJ809407:aadA2_1_NC_010870:aadA2b_1_D43625|0:0:0:1:0|0:0:0:0:1|0:0:0:1:0|1:1:1:1:0,ami,ant(3'')-Ia,,"Note for aminoglycoside naming, we don't have an obvious solution as to which gene it is, but they all appear similar to ant(3'')-Ia,  an consequently we will class these minomers as this"
aph(3'')-Ib_2_AF024602:aph(3'')-Ib_5_AF321551|1:0|0:1|0:1|0:1,ami,aph(3'')-Ib,,
aph(3')-Ia_1_V00359:aph(3')-Ia_3_EF015636|1:0|0:1|1:0|1:0,ami,aph(3')-Ia,,
aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:1|0:0:1:0:0|0:0:0:0:1|1:1:1:1:0,ami,ant(3'')-Ia,,
aadA11_2_AJ567827:aadA12_1_AY665771:aadA13_1_AY713504:aadA17_1_FJ460181:aadA1_5_JX185132:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:0:1|0:0:1:0:1:0:0|0:0:0:0:1:0:0|1:1:0:1:1:1:0,ami,ant(3'')-Ia,,
aadA11_2_AJ567827:aadA12_1_AY665771:aadA1_3_JQ414041:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2b_1_D43625:ant(3'')-Ia_1_X02340|0:0:0:0:1:0:1|0:0:1:0:0:1:0|0:0:1:0:1:0:0|1:1:1:1:1:0:0,ami,ant(3'')-Ia,,
aadA11_2_AJ567827:aadA15_1_DQ393783:aadA1_3_JQ414041:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2b_1_D43625:ant(3'')-Ia_1_X02340|0:0:0:0:1:0:1|0:0:1:0:0:1:0|0:0:1:0:1:0:0|1:1:1:1:1:0:0,ami,ant(3'')-Ia,,
aadA11_2_AJ567827:aadA15_1_DQ393783:aadA1_3_JQ414041:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2_2_JQ364967:ant(3'')-Ia_1_X02340|0:0:0:0:1:0:1|0:0:1:0:0:1:0|0:0:1:0:0:1:0|1:1:1:1:0:1:0,ami,ant(3'')-Ia,,
aadA11_2_AJ567827:aadA15_1_DQ393783:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA1_5_JX185132:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:0:1|0:0:0:0:1:0:0|0:0:0:0:0:0:1|1:1:1:1:0:1:0,ami,ant(3'')-Ia,,
aac(3)-IV_1_DQ241380:aac(3)-IVa_1_X01385|0:1|1:0|1:0|1:0,ami,aac(3)-IV,,
aadA11_2_AJ567827:aadA13_1_AY713504:aadA15_1_DQ393783:aadA1_5_JX185132:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2b_1_D43625:ant(3'')-Ia_1_X02340|0:0:0:0:0:1:0:1|0:1:0:1:0:0:1:0|0:0:0:0:0:1:0:1|1:0:1:1:1:1:0:0,ami,ant(3'')-Ia,,
aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_4_JQ480156:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:1|0:0:1:0:0|0:0:1:0:0|1:1:1:1:0,ami,ant(3'')-Ia,,
aadA11_2_AJ567827:aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:1|0:0:0:1:0:0|0:0:0:0:0:1|1:1:1:0:1:1,ami,ant(3'')-Ia,,
aadA12_1_AY665771:aadA17_1_FJ460181:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:1|0:0:1:0|0:0:0:1|1:1:1:1,ami,ant(3'')-Ia,,
aadA12_1_AY665771:aadA13_1_AY713504:aadA17_1_FJ460181:aadA22_1_AM261837:ant(3'')-Ia_1_X02340|0:0:0:0:1|0:1:0:0:1|0:0:0:0:1|1:0:1:1:0,ami,ant(3'')-Ia,,
aadA11_2_AJ567827:aadA15_1_DQ393783:aadA1_3_JQ414041:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2_2_JQ364967:aadA5_1_AF137361:ant(3'')-Ia_1_X02340|0:0:0:0:1:0:1:1|0:0:1:0:0:1:1:0|0:0:0:0:0:1:1:1|1:1:1:1:0:1:1:0,ami,ant(3'')-Ia,,
aadA11_2_AJ567827:aadA13_1_AY713504:aadA15_1_DQ393783:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:0:1|0:1:0:0:1:0:0|0:0:0:0:0:0:1|1:0:1:1:1:1:0,ami,ant(3'')-Ia,,
aph(6)-Id_1_M28829:aph(6)-Id_4_CP000971|1:0|0:1|1:0|1:0,ami,aph(6)-Id,,
aadA11_2_AJ567827:aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_5_JX185132:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:1|0:0:0:1:0:0|0:0:0:1:0:0|1:1:1:1:1:0,ami,ant(3'')-Ia,,
aph(3'')-Ib_4_AF313472:aph(3'')-Ib_2_AF024602|0:1|1:0|0:1|0:1,ami,aph(3'')-Ib,,
aadA11_2_AJ567827:aadA13_1_AY713504:aadA15_1_DQ393783:aadA1_3_JQ414041:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2_2_JQ364967:ant(3'')-Ia_1_X02340|0:0:0:0:0:1:0:1|0:1:0:1:0:0:1:0|0:0:0:0:0:0:1:1|1:0:1:1:1:0:1:0,ami,ant(3'')-Ia,,
aadA12_1_AY665771:aadA13_1_AY713504:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA24_1_AM711129:aadA24_1_DQ677333:ant(3'')-Ia_1_X02340|0:0:0:0:0:0:1|0:1:0:1:0:0:0|0:0:0:0:0:0:1|1:0:1:0:1:1:0,ami,ant(3'')-Ia,,
aadA11_2_AJ567827:aadA12_1_AY665771:aadA17_1_FJ460181:aadA22_1_AM261837:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:1:0:0|0:0:0:0:0:0|0:0:0:0:0:1|1:1:1:0:1:1,ami,ant(3'')-Ia,,
aac(6')-Ib-cr_1_DQ303918:aac(6')-Ib11_1_AY136758:aac(6')-Ib3_1_X60321|0:0:0|0:0:1|1:1:0|1:0:0,ami,aac(6_)-Ib,,"Note again here, were considering the aac(6')-Ib to be similar (note they align closely) There is an important distinction here though, the specific variant can affect phenotype (specifically aac(6')-Ib-cr"
aadA11_2_AJ567827:aadA15_1_DQ393783:aadA1_3_JQ414041:aadA1_5_JX185132:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2_2_JQ364967:aadA5_1_AF137361:ant(3'')-Ia_1_X02340|0:0:0:0:0:1:0:1:1|0:0:0:1:0:0:1:1:0|0:0:0:0:0:0:1:1:1|1:1:1:0:1:0:1:1:0,ami,ant(3'')-Ia,,
aadA2_2_JQ364967|0|0|0|1,ami,ant(3'')-Ia,,
aph(3'')-Ib_2_AF024602:aph(3'')-Ib_5_AF321551|1:0|0:1|1:0|1:0,ami,aph(3'')-Ib,,
aadA11_2_AJ567827:aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_4_JQ480156:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:1|0:0:0:1:0:0|0:0:0:1:0:0|1:1:1:1:1:0,ami,ant(3'')-Ia,,
aadA11_2_AJ567827:aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA1_5_JX185132:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:0:1|0:0:0:0:1:0:0|0:0:0:0:0:0:1|1:1:1:1:0:1:0,ami,ant(3'')-Ia,,
aph(6)-Id_1_M28829:aph(6)-Id_4_CP000971|1:0|0:1|1:0|0:0,ami,aph(6)-Id,,
ant(3'')-Ia_1_X02340|0|0|1|0,ami,ant(3'')-Ia,,
aadA11_2_AJ567827:aadA15_1_DQ393783:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA1_5_JX185132:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:0:1|0:0:0:1:0:0:0|0:0:0:0:0:0:1|1:1:1:0:1:1:0,ami,ant(3'')-Ia,,
aadA11_2_AJ567827:aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:1|0:0:0:1:0:0|0:0:0:1:0:0|1:1:1:1:1:0,ami,ant(3'')-Ia,,
aadA11_2_AJ567827:aadA12_1_AY665771:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2b_1_D43625:ant(3'')-Ia_1_X02340|0:0:0:1:0:0|0:0:1:0:1:0|0:0:0:1:0:1|1:1:1:1:0:1,ami,ant(3'')-Ia,,
aadA11_2_AJ567827:aadA13_1_AY713504:aadA15_1_DQ393783:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA1_5_JX185132:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:0:0:1|0:1:0:0:0:1:0:0|0:0:0:0:0:0:0:1|1:0:1:1:1:0:1:0,ami,ant(3'')-Ia,,
aadA11_2_AJ567827:aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_2_FJ591054:aadA1_3_JQ414041:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:0:1|0:0:0:0:1:0:0|0:0:0:0:0:0:1|1:1:1:1:0:1:0,ami,ant(3'')-Ia,,
aadA11_2_AJ567827:aadA15_1_DQ393783:aadA17_1_FJ460181:aadA1_4_JQ480156:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:1|0:0:0:1:0:0|0:0:0:1:0:0|1:1:1:1:1:0,ami,ant(3'')-Ia,,
aadA11_2_AJ567827:aadA12_1_AY665771:aadA13_1_AY713504:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA1_5_JX185132:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:0:0:1|0:0:1:0:0:1:0:0|0:0:0:0:0:0:0:1|1:1:0:1:1:0:1:0,ami,ant(3'')-Ia,,
aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA24_1_AM711129:aadA24_1_DQ677333:ant(3'')-Ia_1_X02340|0:0:0:0:0:1|0:0:1:0:0:0|0:0:0:0:0:1|1:1:0:1:1:0,ami,ant(3'')-Ia,,
aadA15_1_DQ393783:aadA1_5_JX185132:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:1|0:1:0:0|0:0:1:0|1:0:1:1,ami,ant(3'')-Ia,,
aadA11_2_AJ567827:aadA15_1_DQ393783:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA1_4_JQ480156:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:0:1|0:0:0:1:0:0:0|0:0:0:0:0:0:1|1:1:1:0:1:1:0,ami,ant(3'')-Ia,,
aadA15_1_DQ393783:aadA17_1_FJ460181:aadA1_4_JQ480156:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:1|0:0:1:0:0|0:0:1:0:0|1:1:1:1:0,ami,ant(3'')-Ia,,
aac(6')-Ib-cr_1_DQ303918:aac(6')-Ib-cr_2_EF636461|1:0|0:1|0:1|0:1,ami,aac(6')-Ib,,
aadA11_2_AJ567827:aadA13_1_AY713504:aadA15_1_DQ393783:aadA1_5_JX185132:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2_2_JQ364967:ant(3'')-Ia_1_X02340|0:0:0:0:0:1:0:1|0:1:0:1:0:0:1:0|0:0:0:0:0:0:1:1|1:0:1:1:1:0:1:0,ami,ant(3'')-Ia,,
aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_5_JX185132:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:1|0:0:1:0:0|0:0:1:0:0|1:1:1:1:0,ami,ant(3'')-Ia,,
aph(3'')-Ib_2_AF024602:aph(3'')-Ib_4_AF313472|1:0|0:1|1:0|1:0,ami,aph(3'')-Ib,,
aph(3'')-Ib_2_AF024602:aph(3'')-Ib_5_AF321551|1:0|0:1|0:1|1:0,ami,aph(3'')-Ib,,
aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA1_5_JX185132:aadA24_1_AM711129:aadA5_1_AF137361:ant(3'')-Ia_1_X02340|0:0:0:0:0:1:1|0:0:1:0:0:1:0|0:0:0:0:0:1:1|1:1:0:1:1:1:0,ami,ant(3'')-Ia,,
aadA11_2_AJ567827:aadA13_1_AY713504:aadA15_1_DQ393783:aadA17_1_FJ460181:aadA1_5_JX185132:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:0:1|0:1:0:0:1:0:0|0:0:0:0:0:0:1|1:0:1:1:0:1:1,ami,ant(3'')-Ia,,
aadA11_2_AJ567827:aadA12_1_AY665771:aadA23_1_AJ809407:aadA2_1_NC_010870:aadA2_2_JQ364967:aadA5_1_AF137361|0:0:0:1:0:1|0:0:0:0:1:1|0:0:0:0:1:1|1:1:1:0:1:1,ami,ant(3'')-Ia,,
aadA11_2_AJ567827:aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:1|0:0:0:1:0:0|0:0:0:0:0:1|1:1:1:1:1:0,ami,ant(3'')-Ia,,
aph(6)-Id_4_CP000971:aph(6)-Id_1_M28829|0:1|1:0|1:0|1:0,ami,aph(6)-Id,,
aadA5_1_AF137361:ant(3'')-Ia_1_X02340|1:0|1:0|1:1|1:0,ami,ant(3'')-Ia,,
aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_2_FJ591054:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:1|0:0:0:1:0|0:0:0:0:1|1:1:1:1:0,ami,ant(3'')-Ia,,
aadA11_2_AJ567827:aadA12_1_AY665771:aadA23_1_AJ809407:aadA2_1_NC_010870:aadA2b_1_D43625|0:0:0:1:0|0:0:0:0:1|0:0:0:1:0|1:1:1:0:1,ami,ant(3'')-Ia,,
aadA11_2_AJ567827:aadA12_1_AY665771:aadA13_1_AY713504:aadA1_5_JX185132:aadA23_1_AJ809407:aadA24_1_AM711129:aadA8b_1_AY139603:ant(3'')-Ia_1_X02340|0:0:0:0:0:0:0:1|0:0:1:0:1:0:0:0|0:0:0:1:0:0:0:0|1:1:0:1:0:1:1:0,ami,ant(3'')-Ia,,
aadA11_2_AJ567827:aadA12_1_AY665771:aadA13_1_AY713504:aadA17_1_FJ460181:aadA22_1_AM261837:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2_2_JQ364967:ant(3'')-Ia_1_X02340|0:0:0:0:0:0:1:0:1|0:0:1:0:0:0:0:1:0|0:0:0:0:0:0:0:1:1|1:1:1:1:1:1:0:0:0,ami,ant(3'')-Ia,,
aph(3'')-Ib_2_AF024602:aph(3'')-Ib_4_AF313472:aph(3'')-Ib_5_AF321551|1:0:0|0:0:1|1:0:0|0:1:0,ami,aph(3'')-Ib,,
aadA11_2_AJ567827:aadA15_1_DQ393783:aadA1_3_JQ414041:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2_2_JQ364967:ant(3'')-Ia_1_X02340|0:0:0:0:1:0:1|0:0:1:0:0:1:0|0:0:0:0:0:1:1|1:1:0:1:0:1:1,ami,ant(3'')-Ia,,
aadA11_2_AJ567827:aadA12_1_AY665771:aadA13_1_AY713504:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:0:1|0:0:1:0:1:0:0|0:0:0:0:0:0:1|1:1:0:1:1:1:0,ami,ant(3'')-Ia,,
aadA11_2_AJ567827:aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA1_4_JQ480156:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:0:1|0:0:0:1:0:0:0|0:0:0:0:0:0:1|1:1:1:0:1:1:0,ami,ant(3'')-Ia,,
aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_5_JX185132:aadA24_1_AM711129:aadA24_1_DQ677333:ant(3'')-Ia_1_X02340|0:0:0:0:0:1|0:0:1:0:0:0|0:0:0:0:0:1|1:1:0:1:1:0,ami,ant(3'')-Ia,,
aph(3'')-Ib_5_AF321551:aph(3'')-Ib_2_AF024602:aph(3'')-Ib_3_AF321550|0:1:0|0:0:1|0:1:0|1:0:0,ami,aph(3'')-Ib,,
aadA11_2_AJ567827:aadA15_1_DQ393783:aadA1_3_JQ414041:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2b_1_D43625:ant(3'')-Ia_1_X02340|0:0:0:0:1:0:1|0:0:1:0:0:1:0|0:0:0:0:1:0:1|1:1:1:1:1:0:0,ami,ant(3'')-Ia,,
aac(6')-Ib-cr_1_DQ303918:aac(6')-Ib-cr_2_EF636461|1:0|0:1|1:0|0:0,ami,aac(6')-Ib,,
aadA11_2_AJ567827:aadA15_1_DQ393783:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:1|0:0:0:1:0:0|0:0:0:0:0:1|1:1:1:1:1:0,ami,ant(3'')-Ia,,
aph(3')-Ia_1_V00359:aph(3')-Ia_9_EU722351|1:0|0:1|1:0|1:0,ami,aph(3')-Ia,,
aadA11_2_AJ567827:aadA12_1_AY665771:aadA1_4_JQ480156:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2b_1_D43625:ant(3'')-Ia_1_X02340|0:0:0:0:1:0:1|0:0:0:0:0:1:0|0:0:1:0:0:0:0|1:1:1:1:1:0:0,ami,ant(3'')-Ia,,
aadA11_2_AJ567827:aadA13_1_AY713504:aadA15_1_DQ393783:aadA17_1_FJ460181:aadA1_4_JQ480156:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:0:1|0:1:0:0:1:0:0|0:0:0:0:1:0:0|1:0:1:1:1:1:0,ami,ant(3'')-Ia,,
aadA11_2_AJ567827:aadA13_1_AY713504:aadA15_1_DQ393783:aadA1_3_JQ414041:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2_2_JQ364967:ant(3'')-Ia_1_X02340|0:0:0:0:0:1:0:1|0:1:0:1:0:0:1:0|0:0:0:1:0:0:1:0|1:0:1:1:1:0:1:0,ami,ant(3'')-Ia,,
aadA11_2_AJ567827:aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA1_5_JX185132:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2b_1_D43625:ant(3'')-Ia_1_X02340|0:0:0:0:0:0:1:0:1|0:0:0:0:1:0:0:1:0|0:0:0:0:0:0:0:0:1|1:1:1:1:0:1:0:0:0,ami,ant(3'')-Ia,,
aph(3'')-Ib_2_AF024602:aph(3'')-Ib_4_AF313472:aph(3'')-Ib_5_AF321551|1:0:0|0:1:0|0:0:1|0:0:1,ami,aph(3'')-Ib,,
aph(6)-Id_1_M28829|1|0|1|1,ami,aph(6)-Id,,
aph(3')-Ia_1_V00359|1|0|1|1,ami,aph(3')-Ia,,
aadA11_2_AJ567827:aadA15_1_DQ393783:aadA17_1_FJ460181:aadA1_5_JX185132:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:1|0:0:0:1:0:0|0:0:0:1:0:0|1:1:1:1:1:0,ami,ant(3'')-Ia,,
aph(6)-Id_4_CP000971|0|1|0|1,ami,aph(6)-Id,,
aph(6)-Id_1_M28829:aph(6)-Id_4_CP000971|1:0|0:1|1:0|0:1,ami,aph(6)-Id,,
aph(3'')-Ib_3_AF321550:aph(3'')-Ib_1_M28829:aph(3'')-Ib_2_AF024602|0:1:1|1:0:0|0:0:1|0:0:1,ami,aph(3'')-Ib,,
aadA11_2_AJ567827:aadA12_1_AY665771:aadA13_1_AY713504:aadA17_1_FJ460181:aadA1_4_JQ480156:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:0:1|0:0:1:0:1:0:0|0:0:0:0:1:0:0|1:1:0:1:1:1:0,ami,ant(3'')-Ia,,
aph(3')-Ia_1_V00359:aph(3')-Ia_7_X62115|1:0|0:1|0:1|0:1,ami,aph(3')-Ia,,
